timestamp,threat_name,threat_type,severity,risk_score,src_ip,dst_ip,device_name,file_name,file_hash,file_size,file_type
2026-03-15 10:32:15,WannaCry.Gen.B,ransomware,critical,10,10.10.10.50,10.30.0.10,PA-5260-CORE,tasksche.exe,ed01ebfbc9eb5bbea545af4d01bf5f1071661840480439c6e5babe8e080e41aa,3723264,PE32
2026-03-15 11:15:22,REvil/Sodinokibi.A,ransomware,critical,10,10.10.10.51,10.20.0.10,PA-5260-CORE,svc_new.exe,a3cb3b02a683275f7e0a0f8a9a5c9e2e7e3e0f5d3f6a2b4c8d9e0f1a2b3c4d5e,2891776,PE32
2026-03-15 14:45:33,LockBit3.0.Ransom,ransomware,critical,10,10.10.10.50,10.30.0.10,PA-5260-CORE,LBB.exe,c8b3b02a683275f7e0a0f8a9a5c9e2e7e3e0f5d3f6a2b4c8d9e0f1a2b3c4d5f,4194304,PE32
2026-03-16 02:05:44,Cobalt Strike Beacon C2,command-and-control,critical,10,10.10.10.50,185.220.101.100,PA-5260-CORE,beacon_x64.dll,f7c3b02a683275f7e0a0f8a9a5c9e2e7e3e0f5d3f6a2b4c8d9e0f1a2b3c4d60,294912,DLL
2026-03-16 02:30:55,Cobalt Strike Beacon C2 Heartbeat,command-and-control,critical,10,10.10.10.50,185.220.101.100,PA-5260-CORE,,,,
2026-03-15 14:05:10,Metasploit Meterpreter Reverse Shell,command-and-control,critical,10,10.10.10.51,91.219.236.200,PA-5260-CORE,msf_payload.bin,d9e3b02a683275f7e0a0f8a9a5c9e2e7e3e0f5d3f6a2b4c8d9e0f1a2b3c4d61,73728,binary
2026-03-16 11:35:22,Data Exfiltration via HTTPS,data-exfiltration,critical,9,10.20.0.10,103.224.80.200,PA-5260-CORE,,,,
2026-03-15 10:52:33,Mimikatz Credential Dumper,credential-theft,critical,9,10.10.10.50,10.30.0.10,PA-5260-CORE,mimi.exe,e2a3b02a683275f7e0a0f8a9a5c9e2e7e3e0f5d3f6a2b4c8d9e0f1a2b3c4d62,1257472,PE32
2026-03-17 10:18:44,CVE-2026-21412 Zero-Day RCE,zero-day-exploit,critical,10,185.220.101.34,172.16.10.5,PA-5260-CORE,,,,
2026-03-15 10:55:55,PsExec Remote Execution Tool,lateral-movement,critical,9,10.10.10.50,10.30.0.10,PA-5260-CORE,psexec.exe,b4c3b02a683275f7e0a0f8a9a5c9e2e7e3e0f5d3f6a2b4c8d9e0f1a2b3c4d63,834560,PE32
2026-03-16 10:22:10,BlackCat/ALPHV Ransomware,ransomware,critical,10,10.10.10.50,10.30.0.10,PA-5260-CORE,svchost_update.exe,a1f3b02a683275f7e0a0f8a9a5c9e2e7e3e0f5d3f6a2b4c8d9e0f1a2b3c4d64,5242880,PE32
2026-03-17 14:22:22,Conti Ransomware v3,ransomware,critical,10,10.10.10.50,10.30.0.10,PA-5260-CORE,conti_loader.dll,f2d3b02a683275f7e0a0f8a9a5c9e2e7e3e0f5d3f6a2b4c8d9e0f1a2b3c4d65,2097152,DLL
2026-03-15 11:32:33,Emotet Trojan Dropper,trojan,critical,9,10.10.10.50,185.220.101.100,PA-5260-CORE,invoice_march.docm,c5e3b02a683275f7e0a0f8a9a5c9e2e7e3e0f5d3f6a2b4c8d9e0f1a2b3c4d66,524288,DOCM
2026-03-16 03:45:44,CVE-2026-0198 Exchange ProxyNotShell,zero-day-exploit,critical,10,91.219.236.88,172.16.10.6,PA-5260-CORE,,,,
2026-03-17 10:42:55,Active Directory Kerberoasting,credential-theft,critical,9,10.10.10.50,10.30.0.10,PA-5260-CORE,,,,
